city+country,Value,wmo,lat,long,place,db_max,wb_max,city,country
shanghai+china,23019196.0,583670,31.198,121.336,"SHANGHAI HONGQIAO INTL, CHINA",40.1,31.0,shanghai,china
"mexico, ciudad de+mexico",21942666.0,766793,19.436,-99.072,"MEXICO CITY INTL, MEXICO",33.7,20.3,mexico,mexico
beijing+china,19612368.0,545110,40.080,116.585,"BEIJING CAPITAL INTL, CHINA",41.6,30.9,beijing,china
new york+u.s.,17799861.0,725053,40.779,-73.969,"NEW YORK CENTRAL PARK, NY, USA",39.5,27.7,new york,u.s.
mumbai+india,16434386.0,430030,19.089,72.868,"MUMBAI SHIVAJI INTL, INDIA",41.4,30.0,mumbai,india
buenos aires+argentina,15416728.31,875820,-34.559,-58.416,"JORGE NEWBERY INTL, ARGENTINA",38.4,28.8,buenos aires,argentina
karachi+pakistan,14910352.0,417800,24.907,67.161,"JINNAH INTL, PAKISTAN",44.4,31.7,karachi,pakistan
delhi+india,12877470.0,421810,28.567,77.103,"NEW DELHI INDIRA GANDHI INTL, INDIA",48.3,32.5,delhi,india
tokyo+japan,12576601.0,476710,35.552,139.780,"TOKYO INTL, JAPAN",37.6,29.2,tokyo,japan
los angeles+u.s.,11789487.0,722950,33.938,-118.389,"LOS ANGELES INTL, CA, USA",37.9,24.0,los angeles,u.s.
moskva+russian federation,11503501.0,275155,55.973,37.415,"MOSCOW SHEREMETYEVO, RUSSIAN FEDERATION",36.3,24.5,moskva,russian federation
sao paulo+brazil,11152968.0,837800,-23.627,-46.655,"SAO PAULO CONGONHAS AP, BRAZIL",36.2,27.2,sao paulo,brazil
lahore+pakistan,11126285.0,416400,31.550,74.333,"LAHORE CITY, PAKISTAN",47.1,31.5,lahore,pakistan
paris+france,10706072.0,071490,48.725,2.359,"PARIS ORLY, FRANCE",38.5,25.0,paris,france
seoul+south korea,9704546.0,471080,37.567,126.967,"SEOUL CITY, KOREA, REPUBLIC OF",37.1,28.8,seoul,south korea
chongqing+china,9691901.0,575160,29.719,106.642,"CHONGQING JIANGBEIINTL, CHINA",42.3,30.2,chongqing,china
jakarta+indonesia,9607787.0,967450,-6.183,106.833,"JAKARTA OBSERVATORY, INDONESIA",36.8,31.9,jakarta,indonesia
lima+peru,9562280.0,846280,-12.022,-77.114,"LIMA CALLAO INTL, PERU",32.4,25.3,lima,peru
cairo+egypt,9539673.0,623660,30.122,31.406,"CAIRO INTL, EGYPT",45.1,28.0,cairo,egypt
tehran+iran,8693706.0,407540,35.689,51.313,"MEHRABAD INTL, IRAN, ISLAMIC REPUBLIC OF",42.8,25.3,tehran,iran
guangzhou+china,8524826.0,592870,23.392,113.299,"GUANGZHOU BAIYUN INTL, CHINA",39.7,29.4,guangzhou,china
wuhan+china,8312700.0,574940,30.784,114.208,"WUHAN TIANHE, CHINA",40.1,32.1,wuhan,china
chicago+u.s.,8307904.0,744665,42.121,-87.905,"CHICAGO EXECUTIVE, IL, USA",39.6,27.6,chicago,u.s.
bangkok+thailand,8305218.0,484560,13.913,100.607,"BANGKOK INTL, THAILAND",40.5,32.7,bangkok,thailand
london+united kingdom,8278251.0,037720,51.478,-0.461,"LONDON HEATHROW, UNITED KINGDOM",35.8,22.6,london,united kingdom
hong kong sar+hong kong,7507400.0,450050,22.300,114.167,"HONG KONG OBSERVATORY, HONG KONG",34.1,28.4,hong kong sar,hong kong
tianjin+china,7499181.0,545270,39.100,117.167,"TIANJIN, CHINA",40.0,30.1,tianjin,china
shenzhen+china,7008831.0,594930,22.639,113.811,"SHENZHEN BAO'AN INTL, CHINA",38.1,31.1,shenzhen,china
bogota+colombia,6778691.0,802220,4.702,-74.147,"ELDORADO INTL, COLOMBIA",27.6,23.0,bogota,colombia
toronto+canada,6471850.0,715080,43.670,-79.400,"TORONTO CITY, ON, CANADA",37.9,28.9,toronto,canada
rio de janeiro+brazil,6320446.0,837550,-22.910,-43.163,"RIO SANTOS DUMONT AP, BRAZIL",39.0,28.9,rio de janeiro,brazil
hyderabad+india,5742036.0,431280,17.452,78.461,"HYDERABAD BEGUMPET AP, INDIA",44.8,29.6,hyderabad,india
singapore+singapore,5703569.0,486980,1.350,103.994,"SINGAPORE CHANGIINTL, SINGAPORE",35.8,29.2,singapore,singapore
bangalore+india,5701446.0,432950,12.967,77.583,"BANGALURU, INDIA",37.7,28.6,bangalore,india
ahmadabad+india,5633927.0,426470,23.077,72.635,"AHMEDABAD, INDIA",46.8,32.8,ahmadabad,india
santiago+chile,5428590.0,855740,-33.393,-70.786,"SANTIAGO PUDAHUEL INTL, CHILE",36.2,22.2,santiago,chile
shenyang+china,5303053.0,543420,41.733,123.517,"SHENYANG, CHINA",35.7,28.6,shenyang,china
guadalajara+mexico,5243178.0,766133,20.522,-103.311,"GUADALAJARA INTL, MEXICO",37.7,23.5,guadalajara,mexico
yangon+myanmar,5211431.0,480970,16.907,96.133,"YANGON INTL, MYANMAR",41.4,31.7,yangon,myanmar
lagos+nigeria,5195247.0,,,,,,,,
riyadh+saudi arabia,5188286.0,404370,24.958,46.699,"RIYADH KING KHALED INTL, SAUDI ARABIA",47.8,25.3,riyadh,saudi arabia
alexandria+egypt,5163750.0,623180,31.184,29.949,"ALEXANDRIA INTL, EGYPT",43.1,28.7,alexandria,egypt
philadelphia+u.s.,5149079.0,724080,39.868,-75.231,"PHILADELPHIA INTL, PA, USA",39.7,29.2,philadelphia,u.s.
monterrey+mexico,5133917.0,763943,25.778,-100.107,"MONTERREY INTL, MEXICO",45.1,31.6,monterrey,mexico
miami+u.s.,4919036.0,722029,25.648,-80.433,"MIAMI EXECUTIVE, FL, USA",38.8,30.3,miami,u.s.
st. petersburg+russian federation,4879566.0,260630,59.800,30.263,"ST PETERSBURG PULKOVO, RUSSIAN FEDERATION",35.7,25.5,st. petersburg,russian federation
sydney+australia,4835206.0,947670,-33.946,151.177,"SYDNEY INTL, AUSTRALIA",45.0,25.7,sydney,australia
melbourne+australia,4784608.0,948660,-37.673,144.843,"MELBOURNE INTL, AUSTRALIA",44.3,25.2,melbourne,australia
chennai+india,4646732.0,432790,12.994,80.181,"CHENNAI INTL, INDIA",44.4,31.2,chennai,india
surat+india,4501610.0,428400,21.200,72.833,"SURAT, INDIA",43.2,30.0,surat,india
kolkata+india,4496694.0,428090,22.655,88.447,"KOLKATA BOSE INTL, INDIA",42.9,32.2,kolkata,india
xi'an+china,4481508.0,513340,44.567,82.817,"JINGHE, CHINA",41.3,26.2,xi'an,china
nairobi+kenya,4397073.0,637400,-1.319,36.928,"NAIROBI JOMO KENYATTA INTL, KENYA",34.4,22.3,nairobi,kenya
abidjan+cote d'ivoire,4395243.0,655780,5.261,-3.926,"ABIDJAN, COTE D'IVOIRE",38.7,31.0,abidjan,cote d'ivoire
dar es salaam+united republic of tanzania,4364541.0,,,,,,,,
chengdu+china,4333541.0,562940,30.579,103.947,"CHENGDU SHUANGLIU, CHINA",38.4,30.3,chengdu,china
montreal+canada,4318505.0,713710,45.520,-73.420,"MONTREAL ST-HUBERT, QC, CANADA",35.5,27.8,montreal,canada
dallas+u.s.,4145659.0,722599,32.681,-96.868,"DALLAS EXECUTIVE, TX, USA",43.7,28.1,dallas,u.s.
boston+u.s.,4032484.0,725090,42.361,-71.011,"BOSTON LOGAN INTL, MA, USA",38.8,27.1,boston,u.s.
amman+jordan,4007526.0,402700,31.973,35.992,"AMMAN, JORDAN",42.9,25.7,amman,jordan
madrid+spain,3998829.0,082210,40.494,-3.567,"MADRID BARAJAS, SPAIN",41.0,25.3,madrid,spain
washington+u.s.,3933920.0,725454,41.276,-91.673,"WASHINGTON MUNICIPAL, IA, USA",47.7,31.4,washington,u.s.
detroit+u.s.,3903377.0,725375,42.409,-83.010,"DETROIT COLEMAN YOUNG INTL, MI, USA",38.7,28.6,detroit,u.s.
baghdad+iraq,3841268.0,406500,33.267,44.233,"BAGHDAD INTL, IRAQ",51.0,27.0,baghdad,iraq
houston+u.s.,3822509.0,722436,29.617,-95.167,"HOUSTON ELLINGTON AP, TX, USA",41.3,31.6,houston,u.s.
yokohama+japan,3724844.0,476700,35.433,139.650,"YOKOHAMA, JAPAN",36.7,28.3,yokohama,japan
nanjing+china,3624234.0,582380,31.742,118.862,"NANJING LUKOU, CHINA",39.7,30.8,nanjing,china
berlin+germany,3613495.0,103820,52.560,13.288,"BERLIN TEGEL, GERMANY",39.3,23.5,berlin,germany
atlanta+u.s.,3499840.0,722197,33.355,-84.567,"ATLANTA REGIONAL, GA, USA",39.3,28.3,atlanta,u.s.
haerbin+china,3481504.0,509530,45.933,126.567,"HARBIN, CHINA",37.7,27.1,haerbin,china
jiddah+saudi arabia,3430697.0,410240,21.680,39.157,"JEDDAH KING ABDULAZIZ INTL, SAUDI ARABIA",49.4,34.6,jiddah,saudi arabia
busan+south korea,3400027.0,471590,35.100,129.033,"BUSAN, KOREA, REPUBLIC OF",35.0,29.3,busan,south korea
dhaka+bangladesh,3397187.0,,,,,,,,
dalian+china,3245191.0,546620,38.966,121.539,"DALIAN INTL, CHINA",36.9,29.5,dalian,china
changchun+china,3225557.0,541610,43.996,125.681,"CHANGCHUN LONGJIA, CHINA",36.7,27.4,changchun,china
faisalabad+pakistan,3203846.0,,,,,,,,
puebla+mexico,3179162.0,766850,19.158,-98.371,"PUEBLA INTL, MEXICO",32.7,22.7,puebla,mexico
pune+india,3124458.0,430630,18.583,73.917,"PUNE INTL, INDIA",41.9,28.8,pune,india
jaipur+india,3046163.0,423480,26.824,75.812,"JAIPUR, INDIA",47.0,31.5,jaipur,india
